nr_reads	nr_writes	nr_ops
15613	6661397	6677010
17639798	30848	17670646
18158432	50	18158482
17195136	695	17195831
17612746	40522	17653268
17055440	1660	17057100
17584114	90	17584204
18383794	9722	18393516
4889	6507138	6512027
21228261	65	21228326
3483	6443625	6447108
19244537	50	19244587
42535	6465826	6508361
18716849	17841	18734690
18243119	13884	18257003
17847877	11261	17859138
17065024	203828	17268852
4108	6528459	6532567
71711	6324253	6395964
17325132	52682	17377814
17876806	9255	17886061
17850189	62	17850251
18964882	50	18964932
19641820	50	19641870
11718	6375725	6387443
18884	6347185	6366069
20802647	12953	20815600
17535436	26577	17562013
18121745	50	18121795
17844994	239	17845233
176	6334922	6335098
17967343	10761	17978104
18406522	50	18406572
18309313	1474	18310787
19790668	8109	19798777
18126614	23738	18150352
14248	6536286	6550534
14539	6485723	6500262
18575403	33632	18609035
18264702	15403	18280105
17944756	10482	17955238
18571960	50	18572010
18404117	14378	18418495
18069512	72	18069584
7188	6158183	6165371
1441	6441434	6442875
18136766	92565	18229331
28724	5767541	5796265
17842226	100	17842326
17689254	8099	17697353
17680202	27800	17708002
17642143	50	17642193
18376629	50	18376679
19910496	6958	19917454
6202	6089011	6095213
20310911	92287	20403198
18453179	50	18453229
19862648	50	19862698
17120386	994047	18114433
21772922	2085	21775007
19151353	50	19151403
20834279	1161	20835440
18839382	50	18839432
18008560	50	18008610
19342501	50	19342551
17748897	50	17748947
16854238	108831	16963069
17453187	50	17453237
1320	6196159	6197479
22247206	50	22247256
17944475	14084	17958559
18326499	3956	18330455
23409877	1093	23410970
20178890	50	20178940
22314596	50	22314646
26457922	50	26457972
19415548	128	19415676
20192581	72985	20265566
19646351	19224	19665575
19163669	50	19163719
71012	6167995	6239007
18923686	3699	18927385
12834301	1890665	14724966
18376566	13928	18390494
19304672	51	19304723
17800010	134631	17934641
18685123	50	18685173
19200521	3445	19203966
17629771	50	17629821
85926	6449427	6535353
18977222	9393	18986615
18107447	6198	18113645
3443	6312694	6316137
19620959	68421	19689380
18965152	29820	18994972
1597	6174008	6175605
4810	6324066	6328876
20762	6456543	6477305
15585669	42494	15628163
18060317	3695	18064012
