nr_reads	nr_writes	nr_ops
18561989	32318	18594307
17744270	3555	17747825
17506292	10	17506302
18302420	10	18302430
17908111	1096	17909207
18411870	10	18411880
19912253	10	19912263
22029672	9140	22038812
19185464	617	19186081
18667691	1818	18669509
20566335	10	20566345
17361308	10	17361318
17902999	3667	17906666
18486640	10	18486650
17887779	2175	17889954
18747598	59	18747657
17999728	10	17999738
18296543	10	18296553
18487127	139887	18627014
17928210	1067	17929277
19560485	10	19560495
18696416	33327	18729743
17849268	10	17849278
18150246	10	18150256
18667440	7791	18675231
17673380	10	17673390
18033454	10	18033464
18033784	10	18033794
17765331	8109	17773440
17520118	10	17520128
16937958	308779	17246737
18075000	10	18075010
17532821	10	17532831
17886384	10	17886394
17253311	43977	17297288
17922059	49	17922108
17409448	10	17409458
17999165	11	17999176
17181701	3597	17185298
18405303	10	18405313
17992906	10	17992916
17867381	10	17867391
18153504	10	18153514
18592925	872	18593797
18536199	10	18536209
17539823	10	17539833
18728011	10	18728021
17840577	10	17840587
18680347	139278	18819625
20586098	19185	20605283
20579238	1382	20580620
19031541	98888	19130429
17333165	12	17333177
17347765	127824	17475589
19266066	10	19266076
18151243	10	18151253
18610007	8761	18618768
18134112	812	18134924
18574060	10	18574070
18640183	10	18640193
20369170	49816	20418986
20301703	10	20301713
17699074	122935	17822009
17981321	10	17981331
18262275	10	18262285
17719177	12	17719189
18702544	10	18702554
18431399	10	18431409
17396612	5678	17402290
17577939	10	17577949
21618814	16	21618830
23077757	7188	23084945
18497373	4775	18502148
19031335	1805	19033140
16889317	11633	16900950
18086631	10	18086641
17895713	10	17895723
17518513	10	17518523
18214557	10	18214567
18172699	10	18172709
17977342	38	17977380
18717037	1924	18718961
18052296	10	18052306
19119673	10	19119683
16875756	144198	17019954
17823112	699	17823811
18130979	12077	18143056
18072391	10	18072401
18334967	11452	18346419
17771931	10	17771941
18352262	99635	18451897
17538576	58	17538634
18581282	5893	18587175
18717544	10	18717554
18314664	10	18314674
18866482	10	18866492
18997286	205541	19202827
19530666	10	19530676
18297564	10	18297574
18547335	11793	18559128
