nr_reads	nr_writes	nr_ops
465	6474646	6475111
1658	6448834	6450492
17882252	2064	17884316
20785089	28810	20813899
17216140	75	17216215
17622380	9526	17631906
17561775	12307	17574082
18876244	98735	18974979
3863	6332792	6336655
100	6347293	6347393
18006136	118707	18124843
17615454	50156	17665610
17173165	645	17173810
17311711	75	17311786
18914464	75	18914539
17817968	75	17818043
455	6567783	6568238
17204424	16364	17220788
17768702	12719	17781421
19295739	75	19295814
19051934	36499	19088433
18889175	23361	18912536
20080198	75	20080273
17379434	56425	17435859
17558001	87083	17645084
12106	6319037	6331143
19625937	75	19626012
3593	5756919	5760512
20324933	523	20325456
18618360	1349	18619709
982	6411827	6412809
20994550	57871	21052421
17448245	75	17448320
940	6479043	6479983
18727711	92	18727803
37353	6357591	6394944
21585	6490891	6512476
18123730	135	18123865
19261	6515467	6534728
18739414	3431	18742845
9353	6292397	6301750
17946332	75	17946407
439	6333479	6333918
18308573	7871	18316444
19655870	17490	19673360
18201382	20858	18222240
19882	6415450	6435332
18273558	148	18273706
23733147	133416	23866563
5751	6432580	6438331
19274246	6844	19281090
2929	6249259	6252188
17486968	121816	17608784
17450495	103	17450598
4714	6432263	6436977
18175962	75	18176037
17737636	75	17737711
1028	6274130	6275158
28457	6441156	6469613
6810	6450878	6457688
4438	6306104	6310542
18844740	106	18844846
17119451	56165	17175616
1955751	5794921	7750672
17588224	75	17588299
18673928	75	18674003
18503634	39895	18543529
21480174	12297	21492471
3159	6369916	6373075
17685158	75	17685233
17833658	3859	17837517
17496729	13249	17509978
17563294	75	17563369
17740862	15148	17756010
19601932	47390	19649322
17492187	38743	17530930
17398059	10574	17408633
18070968	3195	18074163
18361	6575561	6593922
15208	6300944	6316152
17569319	134964	17704283
16913573	75	16913648
17750440	75	17750515
18460180	23490	18483670
4841	6627129	6631970
609	6096332	6096941
20755722	9350	20765072
29865	5824466	5854331
18569787	36904	18606691
19591126	16356	19607482
12813	6425672	6438485
18282501	75	18282576
584	5563453	5564037
18232365	96	18232461
18585073	34359	18619432
24252	5528475	5552727
18299018	1003	18300021
48595	6539404	6587999
17614811	52826	17667637
17651798	20481	17672279
