nr_reads	nr_writes	nr_ops
18548038	2923	18550961
19835022	25	19835047
16802334	531814	17334148
17472674	1140	17473814
18346207	9285	18355492
18117930	3184	18121114
18039190	54676	18093866
18259479	2345	18261824
15254512	1064074	16318586
18268295	25	18268320
18063319	7160	18070479
17610341	11620	17621961
17835945	25	17835970
20796809	25	20796834
17630821	26619	17657440
17434387	25	17434412
17500345	1093	17501438
19345455	103	19345558
4815704	4817285	9632989
18616337	25	18616362
17644074	25	17644099
17779562	34515	17814077
21815020	25574	21840594
18319899	14350	18334249
18099697	572	18100269
17695051	151711	17846762
18361175	25	18361200
17786060	25	17786085
19011378	25	19011403
18454496	25	18454521
18396434	25	18396459
18447023	293	18447316
18343327	25	18343352
18377961	3437	18381398
17202253	25	17202278
18076070	80	18076150
11111113	2558300	13669413
13883016	1445986	15329002
18913220	20284	18933504
18497666	284182	18781848
19311668	20434	19332102
18549203	2584	18551787
18472626	12900	18485526
17806862	25	17806887
18272380	11168	18283548
18054727	25	18054752
18224664	25	18224689
17386852	1596	17388448
15707189	728178	16435367
18258030	369	18258399
16995986	123898	17119884
18372980	7068	18380048
20149894	25	20149919
17866658	1762	17868420
17874327	13354	17887681
18605826	25	18605851
18152288	3623	18155911
18540776	2090	18542866
18297563	25	18297588
9856785	2818216	12675001
14947889	1422884	16370773
17898749	3430	17902179
14603431	2062347	16665778
14780914	587969	15368883
20609630	1841	20611471
16534365	697801	17232166
19897830	10046	19907876
17454289	1663	17455952
17415499	10121	17425620
19007128	25	19007153
18427388	25	18427413
17920220	26	17920246
17355392	25	17355417
18084966	25	18084991
17615409	52	17615461
17901191	25764	17926955
20368428	64177	20432605
14484893	1112056	15596949
17439976	25	17440001
17547980	41	17548021
17990340	69	17990409
18011116	5967	18017083
18340632	25	18340657
17443439	24560	17467999
17203426	37445	17240871
13738107	1391458	15129565
17100271	7174	17107445
17719160	25	17719185
18307656	25	18307681
18477024	25	18477049
20651754	25	20651779
18540652	25	18540677
10229012	2954298	13183310
18945386	25	18945411
9087249	3921898	13009147
18744708	2298	18747006
18226713	20722	18247435
17327637	25	17327662
17325389	25	17325414
18114729	14332	18129061
