nr_reads	nr_writes	nr_ops
185780153	2448689	188228842
183506295	2407838	185914133
182115383	2196662	184312045
184282584	2446956	186729540
181122927	2175440	183298367
180569199	2363446	182932645
179589788	2098253	181688041
181441044	1864977	183306021
178653194	2292740	180945934
182980417	2475607	185456024
184298238	2569193	186867431
182863323	2635409	185498732
181563597	2070951	183634548
177401661	2339741	179741402
176849606	2195253	179044859
183393286	2070126	185463412
184105582	2223973	186329555
181312823	2441740	183754563
179781782	2275570	182057352
178770774	2201489	180972263
186426226	2209666	188635892
173503244	2466840	175970084
183878633	2012391	185891024
184511827	2391370	186903197
177364235	2297974	179662209
180304446	2405118	182709564
176850640	2586551	179437191
183407864	2592572	186000436
178268615	2113855	180382470
179682652	2205763	181888415
178353951	2081131	180435082
186952600	2459527	189412127
177720195	2667287	180387482
188160145	2304237	190464382
182374355	2344142	184718497
176792790	2376983	179169773
184450854	2363684	186814538
182409676	2322728	184732404
177442820	2354772	179797592
178315328	2260148	180575476
172056883	2149752	174206635
177330639	1840958	179171597
180411628	2043563	182455191
176464701	2367932	178832633
186644243	2458107	189102350
181745297	1979418	183724715
173495787	2621090	176116877
186713399	2689813	189403212
179303841	1925357	181229198
180454508	2337157	182791665
178803614	2582608	181386222
184046613	2289307	186335920
181526237	2545351	184071588
181267574	2450941	183718515
183065321	2352581	185417902
177321000	2395234	179716234
178344421	2420632	180765053
180660900	2526178	183187078
185329931	2261437	187591368
185301653	2294659	187596312
183675606	2377949	186053555
177488871	2279078	179767949
180741645	2044924	182786569
177745887	2610390	180356277
179758077	2240734	181998811
176519002	2078969	178597971
178732545	2261815	180994360
179118845	1988412	181107257
176675212	2172917	178848129
185479116	2612342	188091458
179083966	1825457	180909423
177600339	2330101	179930440
184493885	2129552	186623437
185773771	2628210	188401981
183286798	2426634	185713432
176360899	2043216	178404115
179698695	1946964	181645659
178002978	2128896	180131874
180830439	1988812	182819251
180755746	2245253	183000999
182725177	2184450	184909627
177048371	2529511	179577882
188437163	2177325	190614488
176428205	1896724	178324929
179792491	1984063	181776554
181350393	2609849	183960242
176583037	2163051	178746088
176900868	2341173	179242041
189175326	2348972	191524298
180412947	2101232	182514179
187044693	2687512	189732205
176642752	2151748	178794500
179847268	2260111	182107379
179338661	2159826	181498487
182298574	2612938	184911512
178770331	2420158	181190489
179608690	1993177	181601867
186455092	2644584	189099676
177286159	2129038	179415197
178994569	2317291	181311860
