nr_reads	nr_writes	nr_ops
164012086	541914	164554000
156773107	375941	157149048
164785297	623158	165408455
161673649	587858	162261507
167030166	806687	167836853
165655158	722065	166377223
162836496	613714	163450210
167686308	381200	168067508
164595837	515763	165111600
166922222	437174	167359396
164809181	476430	165285611
163978210	538209	164516419
167565818	595403	168161221
163186073	465359	163651432
162063378	498598	162561976
164631386	674289	165305675
160479252	405285	160884537
163140554	423068	163563622
162378946	567980	162946926
157480167	397112	157877279
166765634	581218	167346852
161396533	628679	162025212
166429335	748315	167177650
162794501	397650	163192151
164124964	583322	164708286
160365393	468245	160833638
155741679	477598	156219277
170005650	570645	170576295
157827156	544091	158371247
163052745	416404	163469149
167715053	471802	168186855
164839777	632070	165471847
160712338	376992	161089330
165604298	628160	166232458
160448868	447455	160896323
166780452	461547	167241999
163055908	498456	163554364
167931846	517395	168449241
163900741	688998	164589739
164569977	372909	164942886
161519160	568152	162087312
167902035	527885	168429920
163442564	537084	163979648
157752693	441908	158194601
161583934	315538	161899472
165990091	514028	166504119
154893941	461728	155355669
166215008	623969	166838977
163876465	520888	164397353
163044507	422252	163466759
161697774	473116	162170890
164930217	598248	165528465
158636468	468035	159104503
164514172	393358	164907530
162906064	532416	163438480
169692540	645472	170338012
164362032	438324	164800356
165840372	483195	166323567
160408007	514854	160922861
165357234	559244	165916478
157195822	529283	157725105
166139781	635320	166775101
165314938	533529	165848467
166933693	511809	167445502
162039777	721111	162760888
161434203	606488	162040691
165578203	480977	166059180
159563641	420699	159984340
160920559	436899	161357458
163630943	562066	164193009
159611300	463411	160074711
164237833	488457	164726290
162936219	403783	163340002
164759355	551018	165310373
160446141	573953	161020094
170954662	559519	171514181
163729726	637891	164367617
165438404	568981	166007385
157459251	692435	158151686
160895568	637901	161533469
163132097	499428	163631525
162837293	429857	163267150
168249098	554760	168803858
164372605	646752	165019357
168780947	583827	169364774
166425267	554530	166979797
164607613	619327	165226940
162650063	640576	163290639
161623517	334004	161957521
163107909	501338	163609247
159936703	393212	160329915
166356873	388437	166745310
162623170	520663	163143833
162968171	612078	163580249
164507173	613072	165120245
162055520	755255	162810775
166646070	473871	167119941
167622259	374018	167996277
160914127	523492	161437619
161354773	479565	161834338
