nr_reads	nr_writes	nr_ops
3310155813	2583	3310158396
3294364435	2735	3294367170
3290668589	2518	3290671107
3295636056	2825	3295638881
3210226404	2803	3210229207
3436246488	2971	3436249459
3292097476	2986	3292100462
3204407261	2781	3204410042
3392263479	2839	3392266318
3334341128	2613	3334343741
3237772075	2764	3237774839
3344899685	2746	3344902431
3237487123	2702	3237489825
3187284583	2867	3187287450
3312668004	2606	3312670610
3280135862	2838	3280138700
3237471743	2618	3237474361
3172200093	2722	3172202815
3226295186	2681	3226297867
3219477828	2731	3219480559
3291296404	2735	3291299139
3146956447	2755	3146959202
3180454171	2728	3180456899
3349536713	2808	3349539521
3246372473	2642	3246375115
3185925802	2769	3185928571
3309338120	2789	3309340909
3185804323	2854	3185807177
3250490459	2852	3250493311
3178927830	2784	3178930614
3108043951	2641	3108046592
3130507010	2769	3130509779
3237615156	2846	3237618002
3231029699	2725	3231032424
3247855940	2992	3247858932
3172055971	2648	3172058619
3162450477	2605	3162453082
3349314241	2771	3349317012
3269674186	2822	3269677008
3162685281	2741	3162688022
3200321394	2656	3200324050
3296057561	2735	3296060296
3230523922	2785	3230526707
3251931528	2875	3251934403
3271532029	2778	3271534807
3190563750	2638	3190566388
3227775402	2889	3227778291
3123838082	2765	3123840847
3166839615	2776	3166842391
3147475778	2917	3147478695
3197472730	2820	3197475550
3211225322	2712	3211228034
3191170994	2557	3191173551
3264021623	2839	3264024462
3239745408	2727	3239748135
3222816520	2789	3222819309
3130946741	2779	3130949520
3232132938	2767	3232135705
3155134590	2631	3155137221
3263541139	2866	3263544005
3288123350	2756	3288126106
3094688279	2611	3094690890
3123778732	2887	3123781619
3237872532	2792	3237875324
3215949838	2712	3215952550
3192292871	2808	3192295679
3311015168	2779	3311017947
3268926786	2813	3268929599
3136002710	2708	3136005418
3236668618	2813	3236671431
3245190844	2829	3245193673
3261866230	2808	3261869038
3249518913	2442	3249521355
3150513313	2801	3150516114
3208059889	2589	3208062478
3247348104	2827	3247350931
3239798494	2757	3239801251
3310301873	2869	3310304742
3187963265	2825	3187966090
3216682989	2565	3216685554
3117424092	2548	3117426640
3152872676	2837	3152875513
3177607804	2811	3177610615
3237245407	2998	3237248405
3269299285	2901	3269302186
3161126312	2788	3161129100
3165895655	2620	3165898275
3205419980	2829	3205422809
3220168540	2835	3220171375
3156595604	2817	3156598421
3242084097	2695	3242086792
3121269147	2816	3121271963
3155993204	2767	3155995971
3165724089	2781	3165726870
3311876897	2822	3311879719
3173979696	2727	3173982423
3180277404	2745	3180280149
3215907771	2704	3215910475
3151473622	2667	3151476289
3194319873	2751	3194322624
