nr_reads	nr_writes	nr_ops
2926688341	1092	2926689433
2880425969	1084	2880427053
3048100911	1057	3048101968
2942411211	1069	2942412280
2963282380	1125	2963283505
2899098182	1095	2899099277
2902087371	1108	2902088479
2878316784	1073	2878317857
2846890298	1122	2846891420
2801705654	1068	2801706722
2875283466	1122	2875284588
2871633287	1061	2871634348
2875830468	1136	2875831604
2789269477	1149	2789270626
2888181135	1159	2888182294
2771970008	1029	2771971037
2915031310	1122	2915032432
2618949694	1002	2618950696
2219765100	1001	2219766101
3050779008	1057	3050780065
2158565981	1057	2158567038
2464545517	1003	2464546520
2362598228	959	2362599187
2420100887	978	2420101865
2862613992	1188	2862615180
2731689733	1118	2731690851
2838179835	1114	2838180949
2888648251	1102	2888649353
2981836363	1045	2981837408
2781292603	1043	2781293646
2799807654	1089	2799808743
2908347957	970	2908348927
3114703317	1055	3114704372
3005688641	1162	3005689803
2938285567	1135	2938286702
2883828719	998	2883829717
2956775103	1061	2956776164
2903852431	1052	2903853483
2971384152	1078	2971385230
2781840165	996	2781841161
2797561248	1072	2797562320
2875680329	1123	2875681452
2957067590	1192	2957068782
3088025856	1165	3088027021
3003437139	1160	3003438299
2832268182	1056	2832269238
2907195477	1147	2907196624
2728074447	1104	2728075551
2866667040	1162	2866668202
2677983558	1124	2677984682
2910013839	1164	2910015003
3051460298	1210	3051461508
2985408320	992	2985409312
2944723417	1153	2944724570
2998865773	1137	2998866910
2970654236	1094	2970655330
3093810208	1130	3093811338
2952076691	1122	2952077813
2806948518	1018	2806949536
2902514609	1090	2902515699
2844079219	1031	2844080250
2795037685	1022	2795038707
2938049546	1168	2938050714
3008900468	1109	3008901577
2842534903	1091	2842535994
2840795652	1028	2840796680
2968422411	1040	2968423451
2997610949	1125	2997612074
3058029883	1092	3058030975
2972372863	1107	2972373970
3043757731	1090	3043758821
3007256960	1035	3007257995
2833028355	1021	2833029376
2997094403	1043	2997095446
2943570206	1061	2943571267
2857629969	1046	2857631015
2635290912	1035	2635291947
2734903643	1065	2734904708
2887127257	1097	2887128354
2908710079	1022	2908711101
2725134761	1085	2725135846
2874864651	1087	2874865738
2736721756	1169	2736722925
2892339990	1079	2892341069
2661172041	1004	2661173045
2803964879	1035	2803965914
2580110691	1071	2580111762
2751771273	1123	2751772396
2864908168	1126	2864909294
2786893336	1046	2786894382
2976418846	1177	2976420023
2688383118	1068	2688384186
2472340667	1034	2472341701
3095012514	1142	3095013656
2751696943	1115	2751698058
2929181544	1112	2929182656
2866421621	1149	2866422770
2329885265	1072	2329886337
2686273199	1048	2686274247
2891063275	1065	2891064340
