nr_reads	nr_writes	nr_ops
3744738524	4909	3744743433
3585696484	4951	3585701435
3683201607	4504	3683206111
3623769712	4812	3623774524
3731998992	4693	3732003685
3697233632	4976	3697238608
3656242350	5443	3656247793
3591171110	4955	3591176065
3717457994	5202	3717463196
3496385145	5153	3496390298
3600035442	4944	3600040386
3674000860	5022	3674005882
3701859036	5325	3701864361
3793296241	4447	3793300688
3651439655	5061	3651444716
3629144077	5245	3629149322
3716241038	5099	3716246137
3679233601	5101	3679238702
3712746513	4754	3712751267
3539466917	4533	3539471450
3776218005	4885	3776222890
3747352483	5035	3747357518
3697914496	5065	3697919561
3734506481	4943	3734511424
3665323446	4707	3665328153
3590181894	4443	3590186337
3549383653	4872	3549388525
3637374123	5159	3637379282
3679087197	5475	3679092672
3647957218	4654	3647961872
3652718461	5090	3652723551
3613638624	5026	3613643650
3709605781	5121	3709610902
3774784831	5135	3774789966
3641816011	5156	3641821167
3570898284	4921	3570903205
3538675808	4964	3538680772
3640011259	5355	3640016614
3641973038	5387	3641978425
3661530051	4580	3661534631
3564458552	4712	3564463264
3637787691	4669	3637792360
3718282568	4820	3718287388
3663030620	4547	3663035167
3591119121	5058	3591124179
3518764671	4648	3518769319
3613711800	5023	3613716823
3636457616	5202	3636462818
3549941403	5073	3549946476
3694427643	5217	3694432860
3699646678	4847	3699651525
3671802027	4863	3671806890
3480506204	4901	3480511105
3608483033	4689	3608487722
3538065525	5121	3538070646
3524403155	4929	3524408084
3729370250	4709	3729374959
3550806558	4772	3550811330
3519186867	4804	3519191671
3716757366	4856	3716762222
3605972737	5065	3605977802
3664228820	4765	3664233585
3638119340	5292	3638124632
3574722540	4778	3574727318
3600308570	5068	3600313638
3552806035	4931	3552810966
3502143565	4671	3502148236
3421535948	4938	3421540886
3489988511	4475	3489992986
3508154393	4965	3508159358
3518793102	4524	3518797626
3522149777	4753	3522154530
3582396004	4700	3582400704
3485485054	4876	3485489930
3593030393	5042	3593035435
3567591538	4957	3567596495
3517775054	4625	3517779679
3388075163	4512	3388079675
3471162630	5338	3471167968
3577814518	4931	3577819449
3471210800	4970	3471215770
3544671322	4865	3544676187
3446565213	4635	3446569848
3574619831	4817	3574624648
3596342051	5085	3596347136
3506455495	4927	3506460422
3546650224	4956	3546655180
3591810494	4863	3591815357
3565898899	5351	3565904250
3527031805	4452	3527036257
3473005970	5284	3473011254
3512707818	5123	3512712941
3407757684	4799	3407762483
3370264329	4569	3370268898
3547598581	5003	3547603584
3498269513	4697	3498274210
3431859130	5067	3431864197
3638577666	4835	3638582501
3554653852	5136	3554658988
3413361208	4759	3413365967
