nr_reads	nr_writes	nr_ops
224033894	15603748	239637642
225487872	17193513	242681385
218835748	16701438	235537186
231992095	17926430	249918525
224143098	16877015	241020113
227300009	16449151	243749160
217518355	16335042	233853397
218666442	16917756	235584198
224107559	16651936	240759495
220884863	16431622	237316485
221094451	16188686	237283137
231513179	15753887	247267066
221452089	18129476	239581565
230372605	17971129	248343734
222604573	16148993	238753566
224842242	17402494	242244736
222472494	17377575	239850069
232166938	16826702	248993640
223167505	16807831	239975336
235885240	16339868	252225108
223829133	17678882	241508015
224837512	16659716	241497228
221536581	17147042	238683623
223488450	17190971	240679421
222343078	17736920	240079998
224361082	16672861	241033943
225720131	16672576	242392707
225214765	16814168	242028933
230655525	17047775	247703300
222439025	16987008	239426033
223320097	17588107	240908204
223674550	15705032	239379582
219854607	16019121	235873728
218224536	16037707	234262243
219823193	16062217	235885410
227238692	16380251	243618943
228192909	16885196	245078105
226104586	16987580	243092166
226408215	16439501	242847716
223012569	16701151	239713720
232078632	17756873	249835505
227878338	16543887	244422225
219870155	16652180	236522335
223640466	17050642	240691108
222775570	18529551	241305121
233538017	17735017	251273034
226880954	16288678	243169632
220023693	16927510	236951203
221176767	17013053	238189820
222047554	16996396	239043950
221844835	17080077	238924912
226066692	18823176	244889868
225233835	15681748	240915583
228917844	17928599	246846443
221414595	19614446	241029041
220640708	15964842	236605550
222693659	17169917	239863576
223972172	17561505	241533677
225159495	18248164	243407659
223799272	16592499	240391771
222818992	15369679	238188671
220085442	17649576	237735018
224977592	17011689	241989281
229485025	16072134	245557159
222618146	16095415	238713561
223422424	16543454	239965878
221548166	16917486	238465652
220859784	15768308	236628092
218076329	16149456	234225785
222607552	17629717	240237269
222353490	15434906	237788396
218144193	17698798	235842991
216861638	17125087	233986725
226519915	16901137	243421052
223310189	15872485	239182674
214781734	17007928	231789662
222830301	15461953	238292254
229906860	17260298	247167158
228681984	17423791	246105775
228207371	17409670	245617041
228150950	17638169	245789119
223938856	16119902	240058758
223266915	16183698	239450613
224949428	16760169	241709597
226241811	16207608	242449419
217243805	16621193	233864998
220763275	16960210	237723485
232747666	16923877	249671543
225393700	16838686	242232386
224371526	16715849	241087375
223178990	17215167	240394157
226815694	17338769	244154463
224127754	15589261	239717015
223540540	16774599	240315139
225676449	17243794	242920243
221936677	15917451	237854128
223042367	17073376	240115743
230934190	17174123	248108313
232972985	17982057	250955042
226682312	17436120	244118432
