nr_reads	nr_writes	nr_ops
195954177	7698872	203653049
207359139	8711746	216070885
204772290	8373500	213145790
212279116	7998571	220277687
206599053	7875622	214474675
194432746	7894366	202327112
202583549	8273761	210857310
197852763	8460754	206313517
201596080	7509273	209105353
204155967	8269544	212425511
200567106	7630968	208198074
202924411	8459072	211383483
202895107	8588455	211483562
197474207	8461265	205935472
208690753	7759877	216450630
197342943	6593161	203936104
202270139	7912459	210182598
202182516	8787903	210970419
200825246	8161773	208987019
206068045	7752563	213820608
199880015	7835280	207715295
205177950	8227545	213405495
203243394	8444831	211688225
207113222	9122367	216235589
198031694	8001089	206032783
196797064	8207449	205004513
198541947	8046404	206588351
210645091	8525417	219170508
200330595	9056008	209386603
198197239	7666157	205863396
202789889	7962647	210752536
202814560	7664555	210479115
198175502	7664088	205839590
211641996	8984250	220626246
200736848	8330048	209066896
210044760	8635928	218680688
202445968	7952611	210398579
200181017	8387800	208568817
204624929	8059924	212684853
199682686	7783422	207466108
204309980	9534557	213844537
202620200	8315409	210935609
200727516	8084876	208812392
199055866	7922210	206978076
207019826	7901896	214921722
203550133	8004884	211555017
205428305	8249846	213678151
199248055	7457566	206705621
198890036	8358756	207248792
201754961	8652024	210406985
202676431	7826662	210503093
207501560	8366560	215868120
201657373	8683284	210340657
203012862	7704589	210717451
202884490	7652429	210536919
208956499	7171947	216128446
201855553	7019318	208874871
210693881	9347190	220041071
200135344	8278386	208413730
208782116	8489893	217272009
196888359	7570833	204459192
193430733	8809707	202240440
202679001	8268056	210947057
198034214	7678377	205712591
206643807	7487822	214131629
202351482	7451290	209802772
204981392	7811906	212793298
207216007	7981935	215197942
206537638	8221546	214759184
199763496	7716092	207479588
205177526	7917025	213094551
203949041	8086501	212035542
208751463	8643997	217395460
198844446	7258366	206102812
198672882	7689927	206362809
199774700	8356037	208130737
200307414	7635755	207943169
198872339	8367501	207239840
197337785	8048656	205386441
205183717	8060882	213244599
202267461	7658924	209926385
204233854	8295042	212528896
198598945	8437402	207036347
203026263	8166136	211192399
200040525	6958269	206998794
205641779	8039991	213681770
208732880	8911504	217644384
200273738	8095922	208369660
197983851	7535511	205519362
200475206	7867581	208342787
203166718	7843396	211010114
200178826	7592529	207771355
201093672	7778635	208872307
204971217	7899998	212871215
201690341	7819163	209509504
201076205	8099797	209176002
201191482	7774845	208966327
213365727	8486559	221852286
196765980	7942553	204708533
208748652	6991937	215740589
