nr_reads	nr_writes	nr_ops
2703616363	367	2703616730
2713758561	307	2713758868
2760035438	307	2760035745
2782003174	310	2782003484
2706422327	385	2706422712
2689094581	335	2689094916
2631068637	351	2631068988
2645505171	325	2645505496
2633420534	388	2633420922
2576939648	333	2576939981
2603265051	358	2603265409
2647993944	315	2647994259
2561331086	329	2561331415
2632142828	367	2632143195
2548108453	355	2548108808
2587565554	348	2587565902
2593834911	330	2593835241
2641348933	401	2641349334
2588010061	344	2588010405
2575988673	383	2575989056
2536292122	322	2536292444
2577563129	363	2577563492
2597094982	345	2597095327
2475690422	396	2475690818
2675125135	402	2675125537
2531442035	356	2531442391
2619792110	369	2619792479
2620204382	356	2620204738
2568170069	351	2568170420
2643657147	374	2643657521
2492850532	325	2492850857
2588765599	372	2588765971
2563204993	358	2563205351
2607137264	354	2607137618
2620018476	328	2620018804
2541758639	342	2541758981
2562131557	352	2562131909
2544953007	341	2544953348
2604423196	361	2604423557
2578301814	357	2578302171
2558013456	387	2558013843
2582640737	394	2582641131
2515639773	311	2515640084
2521867777	309	2521868086
2595352229	353	2595352582
2551531620	364	2551531984
2553349046	339	2553349385
2410478938	300	2410479238
2510533345	339	2510533684
2511161300	314	2511161614
2599730248	373	2599730621
2569585347	321	2569585668
2647275752	384	2647276136
2575626858	338	2575627196
2544633549	339	2544633888
2641165927	374	2641166301
2605311591	355	2605311946
2518669619	358	2518669977
2598579470	381	2598579851
2558039994	344	2558040338
2507205126	343	2507205469
2514093814	351	2514094165
2519633358	350	2519633708
2595331761	346	2595332107
2632879953	332	2632880285
2593836417	355	2593836772
2559418736	389	2559419125
2518517583	308	2518517891
2542501546	339	2542501885
2453365728	311	2453366039
2525255192	330	2525255522
2588445139	376	2588445515
2509334606	425	2509335031
2470428154	312	2470428466
2583244907	378	2583245285
2451990604	327	2451990931
2585755018	319	2585755337
2552699258	391	2552699649
2547237894	426	2547238320
2578458404	416	2578458820
2577652304	348	2577652652
2350526034	324	2350526358
2554091881	343	2554092224
2574662965	350	2574663315
2439318123	345	2439318468
2575206858	290	2575207148
2544130918	331	2544131249
2565862752	327	2565863079
2393486484	315	2393486799
2576076807	408	2576077215
2576704313	364	2576704677
2550485807	317	2550486124
2548027558	321	2548027879
2528564336	427	2528564763
2474246968	311	2474247279
2518433457	349	2518433806
2494611223	310	2494611533
2445978696	317	2445979013
2485361077	387	2485361464
2543028419	342	2543028761
